0	1	2	mean_p	var_p	n_snps	l2_diff	l2_diff_lower	diff_l2	diff_l2_lower
89	3	TBC1D5	3.519944973899501e-41	3.579717577729579e-20	723	41.86763677017488	28.86456113720442	107.72993559304454	76.17656799464173
90	1	TMCC2	2.177502647500397e-49	1.1935734089838822e-34	566	31.638869145474004	21.492064840790775	84.43445323463301	59.70417444799825
91	14	RNASE9	3.5386566298126076e-43	1.1192965694148763e-23	639	15.186756170006255	9.958455632172786	64.77288227982919	45.801344297080526
92	18	MBD1	6.310819726250139e-51	1.023961837877996e-22	577	20.742068696834764	14.141771992418022	79.19213412725043	55.99729505802314
93	18	GRP	1.2128471930582504e-82	8.401817835407147e-36	619	23.069266132248657	15.504793756426253	78.92284087537301	55.806875973494364
94	2	ETAA1	1.7368140112953802e-77	3.107076036740476e-19	588	23.84407367972716	16.161732023162735	80.17927117996305	56.695306361958274
95	7	RELN	6.697933790552473e-138	1.6572143839680259e-46	669	32.272614610268306	21.917904890890973	95.4305770177614	67.4796081418152
96	11	CD44	1.228089542481559e-77	1.7139297984077277e-49	666	35.97951621053987	24.61355954486362	99.79185016668639	70.563493960027
97	11	DCHS1	1.2224569432421682e-48	1.778379985255426e-52	623	26.837832113988327	18.277089846066197	81.15098311930718	57.38241046362806
98	6	NEU1	5.8598520767150895e-68	3.62468068339139e-24	955	36.57221861848828	25.474532795133257	177.13838018152754	125.25574983476685
99	20	TCF15	3.77898229464624e-43	5.193793730137967e-27	680	23.483371923816783	15.456369209632534	71.58018759617369	50.61483604787252
100	12	PPM1H	8.330851642815026e-43	1.1174691820564948e-08	590	18.718114867845046	12.68026020898128	76.05323208891468	53.77775614123899
101	8	TRPA1	3.242780278005499e-85	7.556606322816773e-42	563	20.763089811983946	13.938738226513799	74.09510587473747	52.39315181677393
102	2	NOL10	9.762463687692039e-24	7.2550719288844e-06	661	17.292969792518434	11.562268810440692	74.45541200716211	52.647926726315795
103	11	TUB	4.508100852999957e-73	1.668399805603295e-32	683	25.60281413435797	17.23488584029576	84.04570013287709	59.4292844935404
104	12	EID3	1.4588632535590368e-70	1.9750907031503324e-35	724	27.233099311608186	18.55105518724912	97.29041176868145	68.79470990607709
105	7	CCDC129	4.17335273528388e-62	3.356697827195143e-23	663	23.519963866296877	15.899656943033158	85.34391087371243	60.34725811179484
106	11	HSPA8	2.5904443044436616e-62	2.709602958687803e-42	549	19.06552277303755	12.652431692456837	64.4798615739068	45.59414736889189
107	12	KRT85	3.677977592197937e-70	5.5088196743753036e-55	741	30.612853944006375	20.869344094329307	97.73840567222877	69.11148943320883
108	7	STARD3NL	1.4448832348952214e-64	9.494442187479266e-34	595	18.341178984813723	12.36171807007954	77.029017782911	54.467740822447944
109	5	SPDL1	9.166401743762817e-71	1.6092179418731513e-25	617	21.650043655635045	14.580135742853727	78.37591857596112	55.420143506799754
110	14	RNASE4	1.028451995942357e-40	5.820052848511436e-17	648	13.90707122432054	9.065349296770854	63.070904568375674	44.597864315883875
111	3	LSM3	1.6182478728658913e-78	3.374426387102626e-44	557	25.695459654187566	17.150495042891116	72.39866373365476	51.19358607492309
112	6	HLA-DRB5	4.5235238015141163e-100	1.553863002086489e-68	1288	56.01201247396625	39.1450323104317	230.17692455857835	162.7596642280434
113	6	ATXN1	3.922667778302706e-89	2.9324377030575e-48	766	19.8711463693499	13.282836920395361	83.39072141408471	58.96614459995176
114	12	EIF4B	4.047204334695587e-76	5.278648274124146e-32	546	20.188802826894573	13.660853368303698	78.61564820905171	55.58965795600902
115	2	NRXN1	4.358928797542321e-183	6.550793154586641e-68	1059	39.088076667403186	26.804838379336402	137.06201496748747	96.91748022661332
116	9	AL162389.1	1.686045178346752e-72	4.126343948076415e-65	592	28.1946074014094	18.896594664421087	76.95338300637454	54.41425895906515
117	8	ADCY8	1.1381190521238684e-82	1.1711661205545844e-28	630	22.899401651473	15.505064946566094	80.44773883688998	56.88514166270131
118	10	SLC29A3	3.8401571183275616e-75	5.4152246719184065e-25	670	16.93576116298985	11.264223379719063	72.51489984459224	51.27577741718899
119	1	NME7	3.3855275528591455e-43	7.896236068679811e-16	669	28.17218387821427	19.27407536008191	86.632041795768	61.25810422183516
120	7	PRR15	5.224074889013596e-91	2.5219053748979534e-36	598	26.93915272268353	18.152673142454177	80.38072403514609	56.837755041948604
121	11	NXPE4	1.4780772733957193e-85	2.2435067404242477e-28	577	25.823705841361615	17.459887051005033	78.84081451982496	55.74887458125023
122	14	ASB2	1.039368888673886e-54	2.7906126023626508e-36	613	23.923298953935046	16.15518470630196	75.60766468685595	53.4626924097674
123	6	PFDN6	7.887589967720516e-36	0.011413303230792872	998	24.529754304080797	17.01281837211168	162.7096501160453	115.05309696155496
124	2	AC007377.1	8.904063470154493e-88	2.2581743311671634e-46	581	29.372278929001723	20.03967604315578	93.94048183950045	66.42595173665205
125	1	TNR	5.4965126855206454e-71	4.6640328893778083e-20	612	21.763731020412763	14.774754873089847	77.77257610958041	54.993515957442675
126	12	KRT75	2.3486802468322323e-75	5.654994433904057e-53	750	31.110380788760935	21.218146526675184	99.24187302403442	70.17460139296276
127	20	DTD1	1.992406514390229e-23	9.555271848892683e-12	564	21.72891585126922	14.899141355541687	91.58418203629684	64.75979616729867
128	18	SMCHD1	1.085457538659049e-47	3.013126455478783e-23	584	16.925717259503408	11.222485228732218	65.50562322975335	46.319470391623874
129	6	RCAN2	2.0785741259800906e-38	2.564784044687516e-13	636	22.482073300517285	15.354442256757281	91.32485870826743	64.57642688353123
130	11	PKNOX2	3.854473749657773e-42	7.74330344647295e-31	612	23.9005285474652	16.296285758220037	83.13933333510123	58.78838638458997
131	8	TUSC3	4.801932291597968e-201	2.3165534568158832e-67	995	42.397474478377916	28.96043106554893	131.49093943515868	92.97813493920218
132	8	ANGPT1	8.523929297948788e-75	1.8276706027000502e-16	565	20.279744995137165	13.768014854342887	80.25030794197339	56.74553693808787
133	12	KRT82	3.8693453250690124e-74	5.952981475939585e-53	748	31.03380508867174	21.162611787624982	98.82186017328408	69.8776074580119
134	2	RTN4	2.799348869421931e-67	1.1340771268733016e-20	551	27.173931085169244	18.703100700544	110.47917822762662	78.12057610467998
135	6	EHMT2	1.0252471437465089e-62	6.832899364637831e-23	974	37.917791171544536	26.426888360646842	182.16441119449564	128.80969044649024
136	11	OR2AG2	8.290408206948601e-47	1.2791237809221298e-55	604	27.26992083129258	18.562667443789863	80.93145707015428	57.227182105624124
137	20	ZNF831	5.303088849591918e-77	6.905171740028117e-55	620	21.987092853639467	14.562738036209964	70.15350929911465	49.60602214945106
138	2	HJURP	2.584914884236297e-47	5.575875533917955e-33	717	28.566682688517133	19.490670532736758	95.237202508022	67.34287171467061
